MA | Stop-and-ID | VERIFIED G.L. c.90 §25 -- driver must give name/address when requested by police; refusal or false name/address is criminalized
MA | License (driver ID) | VERIFIED G.L. c.90 §25 -- duty limited to person "while operating or in charge of a motor vehicle"
MA | Consent to search | VERIFIED G.L. c.90 §63 -- a search occurring is recorded/reported, without distinguishing consent searches; not a regulated act
MA | Sign citation | VERIFIED M.G.L. ch. 90C §2 -- citation is signed by the police officer, not the driver; no violator-signature duty in the section
MA | Recording own stop | VERIFIED ch. 272 §99(B)(4) all-party on its face, but Glik v. Cunniffe and Project Veritas Action Fund v. Rollins (1st Cir.) hold it cannot bar recording police performing public duties
MA | Officer condition (marked/uniform) | VERIFIED G.L. c.90 §21 -- warrantless-arrest power conditioned on officer being "in uniform or conspicuously displaying his badge"
MA | Checkpoint authority | null (c.90 §25 carries the same buried general-stop drafting shape as checkpoint-relevant statutes elsewhere but without the systematic-program limb; recorded as a null, not a hit)
MA | Impersonation | VERIFIED c.268 §33 -- located and existing; not independently body-quoted in this ledger
MI | Stop-and-ID | VERIFIED MCL §750.479c -- covers false information, not a duty to identify; expressly preserves the right to decline to speak
MI | License (driver ID) | VERIFIED MCL §257.311 -- licensee shall display license upon demand of any police officer, who shall identify himself or herself as such
MI | Consent to search | VERIFIED MCL §257.223(2) -- displaying an electronic registration does not create a presumption of consent to search the electronic device
MI | Recording own stop | LIKELY MCL §750.539c/§750.539a -- statute reads all-party on its face; courts read a court-created participant exception into §750.539a (not a statutory exception)
MI | Duty to inform (firearm) | VERIFIED MCL §28.425f(3) -- individual licensed to carry a concealed pistol who is stopped by a peace officer must immediately disclose that they are carrying
MI | Officer condition (marked/uniform) | VERIFIED MCL §257.311 -- same display duty runs to an officer "who shall identify himself or herself as such"
MI | Sign citation | VERIFIED MCL §257.727c(3) and §257.728 -- citation/complaint is signed by the issuing officer; no driver-signature duty located in either section
MI | Checkpoint authority | VERIFIED MCL §257.715(2) authorizes temporary vehicle check lanes under an equipment-maintenance catchline; NOT Michigan's sobriety-checkpoint authority despite secondary sources citing it that way (Michigan produced Sitz)
MI | Impersonation | VERIFIED §750.215 -- splits three ways: (1)(a) no mens rea, (1)(b) unlawful purpose, (1)(c) intent to compel an act against will
MN | Stop-and-ID | VERIFIED Minn. Stat. §609.506 -- bars giving a false name only; not a duty-to-identify statute
MN | License (driver ID) | VERIFIED Minn. Stat. §171.08 -- license in immediate possession, display upon demand; also requires writing name in officer's presence on request
MN | Consent to search | UNVERIFIED State v. Fort / State v. Sargent under Minn. Const. art. I §10 -- real driver protection but court-made, not codified in ch. 626
MN | Passenger ID | null (ch. 169 index read to completion; only production-duty catchlines are plates, insurance, rental agreements -- none reach an occupant)
MN | Sign citation | LIKELY Minn. Stat. §169.92 -- reportedly says a person is not required to sign; not independently body-verified. (§169.91(b) is a separate nonresident-bond protection, not the signature rule)
MN | Recording own stop | VERIFIED Minn. Stat. ch. 626A §626A.02(d) -- one-party/participant exception, body fetched and quoted (column closed 51/51)
MN | Officer condition (marked/uniform) | VERIFIED Minn. Stat. §169.98 subds. 1, 1a, 2, 2a -- equipment/marking mandate with a uniformed-operator condition on specially marked vehicles; not framed as a bar on the stop itself
MN | Impersonation | VERIFIED §609.475 -- combined military-member/veteran/public-official impersonation, gated on intent to obtain money or benefit; may not reach a bare fake traffic stop
MS | Stop-and-ID | VERIFIED no statewide statute; §97-35-7(1) is a failure-to-comply/breach-of-peace offense, not an identification duty, and should not be recorded as Mississippi's stop-and-identify provision
MS | License (driver ID) | VERIFIED Miss. Code Ann. §63-1-41; note HB 308 (2026) pending would add surrender-for-inspection plus digital licence option
MS | Recording own stop | VERIFIED Miss. Code Ann. §41-29-531(e) -- one-party/participant exception, body fetched (column complete 51/51)
MS | Duty to inform (firearm) | VERIFIED §45-9-101(1)(b) -- licensee must carry the license, together with valid identification, at all times while carrying a stun gun, concealed pistol or concealed revolver
MS | Lit-place / safe stop | VERIFIED §97-9-72(5)(b) -- affirmative defense to fleeing charge if driver proceeded in a safe manner to a reasonably near well-lit public place before stopping; a courtroom defense, not a roadside right
MS | Sign citation | UNVERIFIED §63-9-21(3)(b) -- the ticket contains a signature line for the trial judge, not the driver; whether a driver-signature duty exists elsewhere in MS code was not checked
MO | Stop-and-ID | VERIFIED not statewide; Y only under KC/St. Louis municipal police, §84.710(2) (Chapter 84 governs those departments only, not county sheriffs or state troopers)
MO | License (driver ID) | VERIFIED RSMo §302.181 (column completed 51/51, superseding the earlier LIKELY marker)
MO | Passenger ID | null (ch. 304 full catchline list ~100 sections plus ch. 302 read; no occupant passenger-ID duty found)
MO | Sign citation | VERIFIED RSMo §544.045 -- driver may, at mutual discretion of officer and driver, deposit license in lieu of security, or may decline to deposit the license and instead deposit a bond; no signature required
MO | Recording own stop | VERIFIED RSMo §542.402(3) -- one-party/prior-consent exception, party/prior-consent limb quoted (PASS 5)
MO | Duty to inform (firearm) | VERIFIED §571.121 -- must carry the concealed carry permit at all times while carrying a concealed firearm and display it with photo ID; Missouri has permitless carry so this permit-based section's scope beyond permit holders is UNVERIFIED
MO | Officer condition (marked/uniform) | VERIFIED RSMo §43.130 -- internal duty on State Highway Patrol only (marked vehicles, uniformed members); no stop, arrest, or citation is conditioned on it
MO | Checkpoint authority | VERIFIED RSMo §304.152 -- bars checkpoints and roadblock patterns based on vehicle type, including motorcycle-only, with a commercial-vehicle exception
MO | Consent to search | VERIFIED RSMo §590.650(2)(4) -- on every stop involving a search, officer must report whether the individual consented, probable cause if any, and search duration; a reported datum, not a regulated act
MO | Impersonation | VERIFIED §575.120 ("False impersonation -- penalties"), effective 1 Jan 2017; subsec. 1 covers giving another's identity upon arrest
