KS | Stop-and-ID | VERIFIED K.S.A. §22-2402(1) -- officer may demand name, address, explanation; no penalty for refusal in this section
KS | Recording own stop | VERIFIED K.S.A. §21-6101(a)(1) -- wiretap bars interception without consent of sender or receiver (one-party consent)
KS | Duty to inform (firearm) | VERIFIED K.S.A. §75-7c03 (current text) -- display-on-demand duty repealed; word "demand" absent from current section
KS | Officer condition (marked/uniform) | VERIFIED K.S.A. §8-1568(d)(1) -- stop signal valid only if vehicle marked or officer uniformed with badge shown
KS | Sign citation | VERIFIED K.S.A. §8-2106(d) -- signing is optional but is the only route to release without custody
KS | Police-practices chapter | VERIFIED K.S.A. §22-4609 -- bars bias-based policing as basis for reasonable suspicion or probable cause to stop or search
KS | Checkpoint authority | VERIFIED K.S.A. §8-1759 -- signed spot-inspection points for equipment compliance, no-unnecessary-delay limit
KS | Impersonation | VERIFIED K.S.A. §21-5917 -- no police-specific impersonation statute; generic public-officer offense, knowledge of falsity, no defraud element
KY | License (driver ID) | VERIFIED KRS 186.510 -- display license upon demand to peace officer/KSP/inspector; court-production defense available
KY | Recording own stop | VERIFIED KY §526.010 -- eavesdropping requires lack of consent "of others," excludes participants; one-party consent
KY | Duty to inform (firearm) | VERIFIED KY §237.110(15) -- licensee must carry license at all times carrying concealed firearm and display it
KY | Officer condition (marked/uniform) | VERIFIED KY §520.095(1) -- fleeing/evading first degree requires officer be "recognized to be" police/peace officer
KY | Reason-for-stop duty | UNVERIFIED KY §523.110 -- Category D stop-and-identify; false name/DOB with intent to mislead, but officer must first warn false ID is criminal
KY | Impersonation | UNVERIFIED KY §519.055(1) -- submission/reliance "to his prejudice," ambiguous, not classified into an intent bucket
KY | Checkpoint authority | LIKELY KY §189.126 -- catchline-level only; roadblocks for sole purpose of seat-belt checking are prohibited
KY | Ticket vs arrest | VERIFIED KRS §431.015 -- citation is default for in-presence misdemeanors, but arrest permitted if defendant "refuses the officer's reasonable instructions" (broadest arrest gateway found in project)
LA | License (driver ID) | VERIFIED La. R.S. §32:411.1 -- must display license upon demand of any officer/agent of the department or police officer
LA | Recording own stop | VERIFIED LA §15:1303(3) -- wiretap allows party consent or prior consent of one party
LA | Duty to inform (firearm) | VERIFIED LA R.S. §40:1379.3(I)(2) -- proactive: must notify approaching officer, submit to pat down, allow temporary disarm
LA | Officer condition (marked/uniform) | VERIFIED LA R.S. §14:108.1 -- stop signal must come from a marked police vehicle
LA | Sign citation | VERIFIED La. R.S. §32:391 -- license-holder release is officer's option statewide (shall not require license deposit); refusal to give written promise forces immediate appearance before magistrate; Orleans Parish makes release mandatory ("shall")
LA | Impersonation | VERIFIED LA R.S. §14:112.1(A) -- intent-gated: requires intent to injure, defraud, or obtain special privilege/advantage, including the vehicle-simulating mode
LA | Detention cap | VERIFIED LA C.Cr.P. art. 215.1(D) -- detention keyed to completing the investigation and issuing the citation, with exception for reasonable suspicion of another crime
LA | Checkpoint authority | VERIFIED LA §32:295.4 -- imposes conditions and bars motorcycle-only checkpoints; catchline covers seat-belt/inspection/insurance, not sobriety; no LA sobriety-checkpoint statute located
LA | Police-practices chapter | VERIFIED LA R.S. §32:398.10 -- officers must record type of search and legal basis, reported to DPSC and legislature
LA | Stop-and-ID | null (LA C.Cr.P. art. 215.1, the target stop-and-identify section, was never successfully retrieved -- FindLaw 404s on slugs tried)
ME | License (driver ID) | VERIFIED 29-A M.R.S. §1408(1)-(3) -- possession may be electronic; producing license from phone does not consent to searching other device contents; court dismissal defense for valid license at time of stop
ME | Sign citation | VERIFIED 29-A M.R.S. §2601(1) -- Uniform Summons and Complaint requires only the officer's signature, no driver signature
ME | Officer condition (marked/uniform) | VERIFIED 29-A M.R.S. §105 -- genuine bar: officer may stop a vehicle only "if the officer is in uniform"
ME | Duty to inform (firearm) | VERIFIED 25 M.R.S. §2003(11) -- permit holder must carry permit and display on demand of any law enforcement officer
ME | Impersonation | VERIFIED 17-A §457(1) -- not intent-gated; guilty on mere intent to deceive while falsely pretending to be a public servant
ME | Police-practices chapter | VERIFIED 25 M.R.S. §2803-B(1)(E) -- agency bias policy must state individuals may be stopped only when legal authority exists; note ch.355 Advisory Committee on Bias-Based Profiling is REPEALED
MD | License (driver ID) | VERIFIED Md. Transp. §16-112 -- duty to display license conditioned on the officer being UNIFORMED
MD | Recording own stop | VERIFIED MD Cts. & Jud. Proc. §10-401(13)(i) -- oral communication defined as words spoken "in private conversation"
MD | Sign citation | VERIFIED Md. Transp. §26-202(a)(5) -- refusal to acknowledge citation receipt by signature is an express warrantless-arrest trigger
MD | Officer condition (marked/uniform) | VERIFIED Md. Transp. §21-904(c) -- stop signal valid from officer "whether or not in uniform" so long as the vehicle is appropriately marked
MD | Reason-for-stop duty | VERIFIED MD Crim. Law §9-502 -- Category D stop-and-identify, triggered by arrest, reaches false statement only
MD | License (driver ID) | VERIFIED MD Transp. §16-112(c),(e) -- Category C duty to display license on demand while driving; (e) separately bars giving a false name
MD | Duty to inform (firearm) | UNVERIFIED MD Pub. Safety §5-308 -- carry-permit duty stated, but no present-on-demand clause located; currency against 2023 SB 1 unconfirmed
MD | Impersonation | UNVERIFIED MD Pub. Safety §3-502(b) -- requires fraudulent design on person/property; uniform/insignia bans at (c)-(d) not fraud-gated though (d) needs deception purpose; recorded from scout, not independently body-verified
MD | Lit-place / safe stop | null (Maryland's "drive to a lit spot" argument exists only in case law and prosecutorial practice; no statutory hook found in §21-904)
MD | Police-practices chapter | VERIFIED Md. Transp. §25-113(d)(5) -- officers must record whether a search was "consensual or nonconsensual"; §25-114 confirmed as a motorcycle-checkpoint provision
