HI | License (driver ID) | VERIFIED H.R.S. §286-116(a) -- officer has no discretion, must demand display of license and insurance card; electronic insurance card permitted
HI | License (driver ID) | VERIFIED H.R.S. §291C-172 -- duty limited to persons detained for ch. 291C traffic violation; section itself states no penalty for refusal, chapter-wide §291C-161 penalty may apply, Category B with ambiguity flagged
HI | Recording own stop | VERIFIED §803-42(3)(A) -- one-party consent, participant/prior-consent exception, federal-model wording
HI | Duty to inform (firearm) | VERIFIED §134-9.2(b) -- proactive disclosure immediately on stop, expressly reaches passengers, duty to identify firearm's specific location on request; added by Act 52 (2023)
HI | Officer condition (marked/uniform) | VERIFIED §803-6(a) -- officer must declare "officer of justice" at or before arrest if such is the case
HI | Sign citation | VERIFIED §291D-6(c) -- signature requirement attaches to the later written answer filed with court, not to anything handed over roadside
HI | Passenger ID | VERIFIED §134-9.2(b) -- sole outlier nationally: firearm-disclosure duty triggered by vehicle's stop alone, no individualized suspicion about passenger required
HI | Impersonation | VERIFIED §§710-1016.6, 710-1016.7 -- intent to deceive only, no defraud/benefit gate; aggravator is being armed with firearm, not using a vehicle
HI | Checkpoint authority | VERIFIED §291E-19, §291E-20 -- authorizes county intoxicant-control roadblock programs; minimum standards include selection formula, fixed location/time cap, illumination, advance warning, uniformed officers
HI | Consent to search | null (ch. 803, Arrests/Search Warrants, §803-1 through §803-50 read; no "voluntary and informed consent" provision found, contradicting a search-summary claim)
HI | Consent to search | UNVERIFIED §291E-11 -- REJECTED as false lead: this is DUI implied-consent to chemical testing (breath/blood/urine), not search consent; do not cite for this column
ID | License (driver ID) | VERIFIED Idaho Code §49-316 -- "surrender... into the hands of a peace officer", strongest handover verb found in project (physical transfer, not display)
ID | Recording own stop | VERIFIED §18-6702(d) -- one-party consent, participant/prior-consent exception
ID | Duty to inform (firearm) | UNVERIFIED §18-3302 -- MEDIUM-HIGH negative, body fetched twice on two independent hosts, no display-on-demand or inform provision found (later upgraded to HIGH-confidence null after §§18-3302H/K also read, see below)
ID | Duty to inform (firearm) | null (§18-3302 26 subsections, plus §§18-3302H retired-LEO licensing and §18-3302K enhanced-licence issuance, all read to end; no carry/display/inform duty found) HIGH confidence
ID | Officer condition (marked/uniform) | null (Title 49 ch. 6, Title 49 ch. 14, and Title 19 ch. 6 catchline indexes read; eluding statute §49-1404 fetched on two hosts; no uniform or marked-vehicle condition found) -- index-level negative
ID | Officer condition (marked/uniform) | VERIFIED §19-608 ("Information to person arrested") -- officer must inform person of intention to arrest, cause of arrest, and authority to make it, except exceptions
ID | Ticket vs arrest | VERIFIED §49-1407(1) -- release need not follow when person does not furnish satisfactory evidence of identity, or officer has reasonable grounds to believe person will disregard written promise to appear
ID | Stop-and-ID | UNVERIFIED §19-705 -- REJECTED false-positive trap: a search summary claimed this was an identification duty, but the section actually defines "fresh pursuit"; do not cite
ID | Checkpoint authority | VERIFIED §19-621 with §19-620 (definition) and §19-622 (minimum requirements) -- fugitive apprehension only, purpose-limited
IL | Duty to inform (firearm) | VERIFIED 430 ILCS 66/10(h) -- disclosure/present-license duty triggered "upon the request of the officer" on an investigative stop including traffic stop; not proactive
IL | Officer condition (marked/uniform) | VERIFIED 725 ILCS 5/107-14(a) -- stop power conditioned on officer "after having identified himself as a peace officer", same precondition wording as Wis. §968.24
IL | Passenger ID | VERIFIED 725 ILCS 5/107-14(a) -- criminal-code stop-question duty conditioned on individualized reasonable suspicion that the stopped person committed/is committing/about to commit offense; no penalty for refusal stated in section
IL | Detention cap | UNVERIFIED 725 ILCS 5/107-14 -- "bare-reasonable, no anchor": stop authorized "for a reasonable period of time" with no fixed clock or enumerated task list
IL | Sign citation | VERIFIED 725 ILCS 5/107-12(b) -- notice to appear "shall be signed by the officer issuing the notice"; officer signs, joins officer-signs group
IL | Pretext / secondary-offense | UNVERIFIED 720 ILCS 5/31-4.5 -- catchlined "Obstructing identification" (reads like Utah's "Failure to disclose identity") but requires furnishing false/fictitious name, address or DOB, Class A misdemeanor; Category D not A, highest-risk catchline trap in project
IL | Impersonation | VERIFIED 720 ILCS 5/17-2(b)(3) -- knowing false representation only; defraud/benefit gates sit in other personation subsections, not this one
