CO | Recording own stop | VERIFIED §18-9-304(1) -- eavesdropping requires recorder be "not visibly present"; a present/consenting party is outside the statute
CO | Duty to inform (firearm) | VERIFIED 18-12-204(2)(a) -- permittee must carry permit + photo ID and produce both on demand; failure carries a penalty; on-request, two-document duty
CO | Consent to search | VERIFIED 16-3-310 -- officer must advise driver of right to refuse before consensual search; substantial compliance sufficient; breach is only a factor in voluntariness, not a bar; excludes 16-3-103 Terry stops [remedy: a factor, not exclusion]
CO | Detention cap | VERIFIED 16-3-103 -- no numeric cap in text; widely repeated "90 minutes" figure does not appear anywhere in the statute
CO | Passenger ID | null (ch. 8/moderate-coverage sweep of CO stop-and-identify and traffic provisions; no passenger-reaching duty located)
CO | Stop-and-ID | VERIFIED 16-3-103(1) -- officer may stop a person on reasonable suspicion and require the person to give name and address
CO | Impersonation | VERIFIED 18-8-112 -- impersonating a peace officer statute located; not assessed as intent/result-gated
CT | Recording own stop | VERIFIED 53a-187(a)(2) -- criminal "mechanical overhearing" requires absence of consent from at least one party AND recorder's physical absence; a present, consenting driver is outside on both grounds; effectively one-party for in-person recording despite reputation as all-party state
CT | Consent to search | VERIFIED 54-33o(a) -- officer may not even ask to search a vehicle stopped solely for a motor vehicle violation; only unsolicited, written-or-recorded consent, or probable cause, permits a search; 54-33o(b) also caps document demands to license/registration/insurance/stop-related items absent probable cause of a crime [remedy: request itself unlawful]
CT | Consent to search | VERIFIED 54-33p -- odor of cannabis, sub-5-oz possession, or cash near cannabis (unless over $500) cannot support any stop or search "in part or in whole"; evidence from a violating stop/search is inadmissible [remedy: exclusion]
CT | Duty to inform (firearm) | VERIFIED 29-35(b) -- permit holder must present permit only on request of an officer who has reasonable suspicion of a crime (duty conditioned on suspicion, not a bare request); currency since a possible 2023 amendment unverified
CT | Detention cap | null (CT swept only at MODERATE coverage for passenger-ID/stop-and-identify; no numeric detention-cap provision located in ledger)
CT | Passenger ID | null (ch.14-level sweep MODERATE coverage; no passenger-reaching identification duty located)
CT | Ticket vs arrest / Reason-for-stop duty | VERIFIED 14-217 -- duty attaches to operating a vehicle: give name/address, produce license/registration/insurance, and sign name on demand; violation is an infraction
CT | Officer condition (marked/uniform) | VERIFIED 14-223(b) -- eluding offense requires signal from a police vehicle plus signal element; 14-223(a) separately conditions the driver's stop duty on an officer in uniform or prominently displaying a badge
CT | Impersonation | VERIFIED 53a-130a -- impersonating a peace officer statute located; not assessed as gated
DE | Recording own stop | VERIFIED 11 Del. C. 2402(c)(4) -- lawful to intercept a communication "where the person is a party to the communication"; functionally one-party despite all-party reputation
DE | Stop-and-ID | VERIFIED 11 Del. C. 1902(a) -- officer may demand name, address, business abroad, and destination (Terry-style demand, no stated penalty in section)
DE | Detention cap | VERIFIED 11 Del. C. 1902(c) -- total detention "shall not exceed 2 hours"; detention is not an arrest and shall not be recorded as one
DE | Duty to inform (firearm) | null (11 Del. C. 1441-1469A full catchline index plus bodies of 1441-1443, 1441A, 1441B read; no officer-notification duty found; HIGH-confidence negative)
DE | Officer condition (marked/uniform) | VERIFIED 21 Del. C. 701(a) -- warrantless arrest power for motor vehicle violations conditioned on officer being in uniform or displaying a badge/police ID folder; a genuine bar on the arrest power, buried under an "arrest" catchline
DE | Officer condition (marked/uniform) | VERIFIED 21 Del. C. 4103(b) -- driver's stop duty separately conditioned on an officer identifiable by uniform, vehicle, or discernible police signal
DE | Lit-place / safe stop | VERIFIED 21 Del. C. 4103(b) -- affirmative defense combining a speed condition with a day/night distinction
DE | Impersonation | VERIFIED 11 Del. C. 907(3) -- bare-conduct impersonation offense (pretending to be a public servant or wearing/displaying ID, uniform, or badge), not gated on benefit/injury/defraud; note 907(1)-(2) ARE gated, so subsection precision matters
DE | Police-practices chapter | null (11 Del. C. ch. 23 official index shows only Subchapters I and II; the "Subchapter III, Racial Profiling, §§2331-2332" cited by secondary sources is not present -- repealed or relocated, replacement not located; recorded as a live gap)
FL | Recording own stop | VERIFIED 934.02(2) -- oral communication covered only if uttered under circumstances justifying an expectation of no interception; expressly excludes public oral communication at a public meeting; a roadside stop fails the privacy-expectation limiter
FL | Duty to inform (firearm) | VERIFIED 790.06(1)(c) -- licensee must carry and display identification (not disclose the firearm itself) on demand; violation is expressly noncriminal
FL | Stop-and-ID | VERIFIED 901.151(2) -- officer may act when circumstances "reasonably indicate" a violation; standard stop-and-identify structure
FL | Detention cap | VERIFIED 901.151(3) -- no fixed minute cap; detention geographically anchored to the stop site (task/place-anchored, not time-anchored)
FL | Officer condition (marked/uniform) | VERIFIED 316.1935(2),(3) -- fleeing/eluding offense conditioned on an authorized/marked patrol vehicle with insignia and markings; subsections (1) and (4)-(7) carry no such condition
FL | Impersonation | VERIFIED 843.08 -- impersonating an officer statute located, not gated on benefit/injury/defraud; no internal aggravated form (cross-references separate lights offenses 316.2397 and 843.081, not a grading tier of 843.08)
FL | Consent to search | null (943.1714 "racial profiling" section does not exist -- FL numbering runs 943.1701 to 943.171 to 943.1715; a phantom citation. Real FL material is 166.0493 municipal policies and 316.614(9) seat-belt data, neither a consent rule; 901.151 is stop-and-frisk only)
GA | Recording own stop | VERIFIED 16-11-62(1) -- eavesdropping requires clandestine manner AND private conversation AND originating in a private place; three stacked limiters, all failed by a roadside stop
GA | Stop-and-ID | null (16-11-36 loitering "refuses to identify himself" is only a factor courts may consider, not a duty, and officer must afford opportunity to dispel alarm before arrest; confirms Georgia has no general stop-and-identify law)
GA | Stop-and-ID | VERIFIED 16-10-25 -- corrected cite for Georgia's actual false-statement/identify provision (Category D: false statement only, not a refusal offense); supersedes any prior entry resting on 16-11-36
GA | Duty to inform (firearm) | VERIFIED 16-11-137 -- inverse duty: a person carrying a weapon "shall not be subject to detention for the sole purpose" of investigating licensure; the 2022 constitutional-carry amendment replaced a former on-request disclosure duty with this prohibition on detention itself
GA | Officer condition (marked/uniform) | VERIFIED 40-8-91(b)-(c) -- marking/equipment mandate on police vehicles, but (f) provides an otherwise-lawful arrest is not invalidated by failure to comply -- an "anti-protection," binds the agency but gives the driver no remedy
GA | Officer condition (marked/uniform) | VERIFIED 40-6-395(a) -- fleeing/eluding offense requires uniform AND badge AND marked official vehicle, all three conjunctive
GA | Impersonation | VERIFIED 16-10-23 -- impersonating a peace officer statute located, not gated on benefit/injury/defraud
GA | Police-practices chapter | null (HB115 "End Racial Profiling Act," proposed Title 35 ch. 11, is unenacted -- bill-text contamination, not codified law)
