OK | License (driver ID) | VERIFIED 47 O.S. §6-112(A) -- must produce and provide physical possession of license on officer's demand; failure is a misdemeanor
OK | Ticket vs arrest | VERIFIED 22 O.S. §1115.1A(A) -- mandatory release on personal recognizance for misdemeanor traffic arrest if driver holds valid compact-state license, officer certifies identity, person signs
OK | Duty to inform (firearm) | VERIFIED 21 O.S. §1290.8 -- must identify firearm possession only upon officer's demand; second sentence expressly negates any proactive duty
OK | Officer condition (marked/uniform) | VERIFIED text/UNVERIFIED currency 11 O.S. §34-106; 19 O.S. §180.43 -- unmarked-vehicle stops prohibited, uniform required for municipal police and county sheriffs; source footer dated 2014, currency not confirmed
OK | Impersonation | VERIFIED 21 O.S. §1533(F)(2) -- using a motor vehicle to falsely personate a law enforcement officer; result element met by "harassed, vexed or annoyed"
OK | Checkpoint authority | VERIFIED 21 §540B -- authorizes roadblocks only to apprehend wanted persons, not sobriety checkpoints
OK | Passenger ID | null (ledger's 51-state passenger-ID finding: no passenger is covered by a driver-ID statute anywhere absent individualized suspicion about that passenger; OK not listed among the AZ/WA/IN/HI exceptions)
OR | License (driver ID) | VERIFIED ORS 807.570(1)(b) -- must "present and deliver" license on request; failure is a Class C misdemeanor
OR | Officer condition (marked/uniform) | VERIFIED ORS 810.400 -- officer enforcing traffic laws "shall be in uniform or shall conspicuously display an official identification card"
OR | Reason-for-stop duty | VERIFIED ORS 131.615 -- officer must inform the person of peace-officer status before inquiry (not a proof-of-identity duty)
OR | Detention cap | VERIFIED ORS 131.615 -- bare-reasonable: "no longer than a reasonable time," plus a vicinity restriction, no fixed minutes
OR | Impersonation | VERIFIED ORS 162.367 -- criminal impersonation of a peace officer; result element is intent to obtain a benefit or to injure/defraud
OR | Recording own stop | VERIFIED ORS 165.540(5)(b) -- all-party consent rule does not apply to recording an officer performing official duties, done openly, audible, from a place the person may lawfully be
OR | Reason-for-stop duty | VERIFIED ORS 162.385(1) -- giving false name/address/DOB to an officer issuing a citation is an offense; declining to answer is not criminalized
OR | Lit-place / safe stop | VERIFIED ORS 811.540(2) -- affirmative defense to eluding for proceeding to a safe stop location, limited to unmarked vehicles only
OR | Duty to inform (firearm) | UNVERIFIED ORS 166.380 -- located provision governs firearm examination in public buildings only, off-point for a traffic stop; Oregon's roadside duty-to-inform position not resolved
OR | Passenger ID | null (ledger's 51-state passenger-ID finding: no passenger is covered by a driver-ID statute anywhere absent individualized suspicion; OR not among the AZ/WA/IN/HI exceptions)
PA | License (driver ID) | VERIFIED 75 Pa.C.S. §6308(a) -- must exhibit registration, license, and proof of financial responsibility on request, and must write name in officer's presence if required to establish identity
PA | Sign citation | VERIFIED Pa.R.Crim.P. 405(1) -- no defendant signature required on a citation; officer must exhibit an official sign of authority and give a paper copy contemporaneously
PA | Detention cap | null (§6308 limits the stop's purpose, not its length -- ledger records this explicitly as a null for the detention-cap column)
PA | Officer condition (marked/uniform) | VERIFIED 75 Pa.C.S. §6304(a) -- a Pennsylvania State Police member's warrantless traffic-arrest authority is limited to a member who is in uniform
PA | Duty to inform (firearm) | VERIFIED 18 Pa.C.S. §6122(a) -- must produce firearm carry license "upon lawful demand" of an officer; expressly reaches a vehicle
PA | Passenger ID | VERIFIED 75 Pa.C.S. §6308(a) -- section enumerates operator and pedestrian only; passengers are not among the classes reached, read as a deliberate omission
PA | Checkpoint authority | VERIFIED 75 Pa.C.S. §6308(b) -- authorizes a stop where the officer is engaged in a "systematic program of checking vehicles or drivers" or has reasonable suspicion
PA | Reason-for-stop duty | VERIFIED 18 Pa.C.S. §4914(a) -- false-identification offense requires (1) officer in uniform or identified, (2) officer informed person of an official investigation, (3) person furnishes false info; silence is not the offense
PA | Lit-place / safe stop | VERIFIED 75 Pa.C.S. §3733(c)(2)(iv) -- proceeding to a safe location is one factor within a good-faith personal-safety affirmative defense to eluding
RI | Stop-and-ID | VERIFIED R.I.G.L. §12-7-1 -- officer may demand name, address, business abroad, destination; failure to satisfy officer leads to further detention, not a criminal charge
RI | Detention cap | VERIFIED R.I.G.L. §12-7-1 -- 2-hour general cap, not recorded as an arrest; VERIFIED §31-21.2-5(a) imposes a second, tighter traffic-specific cap anchored to addressing the violation, extendable only on RS/PC
RI | K-9 sniff | VERIFIED §31-21.2-5(a) -- a stop may be extended for arrival of a canine unit or further investigation only on reasonable suspicion or probable cause
RI | Consent to search | VERIFIED §31-21.2-5(b) -- officer may not even request consent to search absent RS/PC; reaches owner-passenger, pedestrians, and juveniles (who must be advised they may refuse/limit); weapons pat-down expressly preserved [remedy: evidence from a search prohibited by (a) or (b) is inadmissible, §31-21.2-5(f)]
RI | Footage access | VERIFIED §31-21.2-5(c) -- every search, including ones producing no charges, must be documented in a CAD entry or police report and is a public record; VERIFIED §31-21.2-5(g) -- agencies with dashcams must record every stop starting no later than the signal to stop
RI | License (driver ID) | VERIFIED §31-21.2-5(d) -- absent RS/PC or failure to produce a valid license, officer may not demand documentation beyond license, registration, and/or proof of insurance
RI | Pretext / secondary-offense | VERIFIED §31-21.2-5(e) -- where a traffic stop is used for unrelated investigatory reasons, officer must document the investigatory basis and the department must audit the justification every six months, data public
RI | Reason-for-stop duty | VERIFIED §31-21.2-5(h) -- officer must advise the motorist of the reason for the stop (a reason-for-stop duty, not a proof-of-identity duty)
RI | Police-practices chapter | VERIFIED ch. 31-21.2, Comprehensive Community-Police Relationship Act of 2015 -- a single police-relations chapter answering detention cap, consent, K-9, document-demand, pretext, exclusionary remedy, and dashcam in one place; profiling ban at §31-21.2-3
