NM | Stop-and-ID | VERIFIED §30-22-3 -- concealing true name/identity with intent to obstruct due execution of law is the offense; silence alone is not
NM | Recording own stop | UNVERIFIED §30-12-1 -- not a conversation-recording statute at all; it's a physical-interference-with-communications-infrastructure law; no separate definitions section located
NM | Duty to inform (firearm) | UNVERIFIED §29-19-9 -- concealed handgun license possession duty, no peace-officer display-on-demand language in the body; duty may live in regulation (10.8.2 NMAC) instead
NM | Officer condition (marked/uniform) | VERIFIED §30-22-1.1 -- aggravated fleeing requires a uniformed officer in an authorized emergency vehicle (element of fleeing charge, not a right to keep driving)
NM | Consent to search | null (Prohibition of Profiling Practices Act §§29-21-1 to 29-21-4 read in full -- contains no consent-search provision)
NY | Stop-and-ID | VERIFIED C.P.L. §140.50 -- officer may stop a person in a public place when he reasonably suspects the person is committing, has committed, or is about to commit an offense
NY | Officer condition (marked/uniform) | VERIFIED V.T.L. §1102 -- duty to comply with lawful order/direction of any police officer or flagperson; a compliance duty, not an officer-condition rule
NY | Reason-for-stop duty | VERIFIED C.P.L. §140.15(2) -- arresting officer must inform person of officer's authority and purpose and the reason for the arrest; excused on resistance or flight
NY | Impersonation | VERIFIED Penal Law §190.25(3) -- criminal impersonation in the second degree reaches pretending to be a public servant and wearing a uniform, badge, or insignia
NY | Recording own stop | VERIFIED Penal Law §250.05 with §250.00(2) -- eavesdropping offense requires lack of consent of at least one party; one-party consent, and New York is wrongly listed elsewhere as two-party
NY | Duty to inform (firearm) | VERIFIED Penal Law §400.00(8) -- licensee carrying a pistol/revolver shall have the license on their person; CCIA concern checked and cleared
NC | Ticket vs arrest | VERIFIED §15A-302(d) -- failure of person cited to accept delivery of the citation shall not itself constitute grounds for arrest or a bond requirement
NC | Duty to inform (firearm) | VERIFIED G.S. §14-415.11(a) -- permit holder shall carry permit with valid ID and shall disclose to any officer that they hold a valid permit and are carrying, when approached or addressed
NC | Stop-and-ID | VERIFIED §14-223 -- "resist, delay or obstruct a public officer" is a general obstruction offense, not an identification duty
NC | Recording own stop | VERIFIED §15A-287(a) -- one-party consent stated as element: felony only if done without consent of at least one party to the communication
NC | License (driver ID) | VERIFIED G.S. §20-29 -- driver's duty to surrender or display a license runs specifically to "an officer in uniform," a uniform condition on the driver's duty
NC | Lit-place / safe stop | VERIFIED §20-183 -- local officers outside municipal limits must sound siren or activate a special light before overtaking to stop; fleet-marking provisions recodified to §§143B-1716/143B-1720 eff. 7/1/2025
NC | Pretext / secondary-offense | VERIFIED G.S. §14-277(a)(4) -- offense to unlawfully operate a vehicle with an operating blue light as defined in §20-130.1(c); §14-277(b) reaches falsely representing oneself as an officer
NC | Detention cap | VERIFIED §15A-1113(b) -- detention limited to a reasonable period in order to issue and serve a citation
NC | Consent to search | VERIFIED §§15A-221, 15A-222 -- defines consent and who may consent for a vehicle (registered owner or person in apparent control); neither imposes advisement, recording duty, scope limit, or suspicion threshold -- structural analog only
ND | Officer condition (marked/uniform) | VERIFIED §39-10-71 -- eluding offense conditioned on stopping vehicle being appropriately marked as official police vehicle, or (if signal not from a vehicle) officer in uniform or prominently displaying a badge -- element of fleeing, not permission to keep driving
ND | Duty to inform (firearm) | VERIFIED §62.1-04-04 -- "Producing license upon request": individual shall have license (or digital image on electronic device) on their person and shall give it on request; third state (after ME, AR) allowing a digital image
ND | Detention cap | UNVERIFIED §29-29-21 -- Terry stop-authority codification with zero temporal language of any kind; this is silence, not a "bare-reasonable" limit, and should not be scored as a limit
ND | Checkpoint authority | VERIFIED ch. 24-15 (§§24-15-02 authorizes, -03 restricts) -- fugitive-roadblock authority to apprehend wanted persons, distinct from sobriety checkpoints
ND | Consent to search | null (nothing located; ledger notes ND and OH as gaps)
OH | Duty to inform (firearm) | VERIFIED R.C. §2923.12(B)(1) -- offense to fail to disclose carrying a concealed handgun before or at the time an officer asks; duty does not attach until asked; no violation if already disclosed to another officer during the same stop
OH | Officer condition (marked/uniform) | VERIFIED R.C. §4549.13 -- traffic-enforcement vehicle must be marked in distinctive manner/color and equipped with at least one flashing/oscillating/rotating colored light on top [remedy: R.C. §4549.14 -- officer using an unmarked vehicle in violation of §4549.13 is incompetent to testify as a witness against the arrested person]
OH | Passenger ID | VERIFIED R.C. §2921.29(A) and (C) -- duty to disclose name/address/DOB conditioned on officer reasonably suspecting that specific person of an offense or of witnessing specified serious crimes; (C) caps compellable answer at name/address/DOB and bars arrest for refusing anything beyond that; (D) exempts age/DOB where age is an element of the suspected offense
OH | Ticket vs arrest | VERIFIED R.C. §2935.26(A)(2),(3) -- failing to furnish satisfactory identification sits in the exception list allowing arrest instead of citation release
OH | Consent to search | null (Ohio's official full-text search for "consent to search" returned only juvenile-disposition sections; nothing located)
